lattice,version,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU,energy,hand,additive
5,sup_inf_attribute,0.6447052816798429,0.375903983764162,1.0,1.0,0.9482515734951744,0.4266274762653633,0.925586343861036,0.7142857142857143,1.0,0.2652491247274651,0.6,1398.8291860022496,0.39,True
5,sup_inf_doubly,0.6447053176641608,0.3759040022611442,1.0,1.0,0.9482515826394038,0.4184733188871413,0.9255863493492068,0.7142857142857143,1.0,0.2652491309755836,0.6,1398.553807362718,0.44,True
5,dim_draw,0.5615011254329967,0.4000000000000001,1.0,1.0,0.811419515303555,0.5008878885040029,0.8888372613492967,0.7142857142857143,1.0,0.1999999999999999,0.6,1453.1031792194237,0.50,True
5,dim_flux,0.6447052288107799,0.3759039534563991,1.0,1.0,0.9482515658847848,0.426928685501529,0.9255863350190832,0.7142857142857143,1.0,0.265249116734905,0.6,1398.8295562610738,0.39,True
6,hand_drawn,0.75,0.75,1.0,1.0,0.9376418836425944,0.125,0.8953381309828916,0.7647058823529411,1.0,0.2425356250363329,0.7142857142857143,1933.2728248426458,0.0,False
6,sup_inf_attribute,0.7185169937303307,0.6861723356145483,1.0,1.0,0.9517285515285756,0.1447963121085917,0.8801073777171344,0.7647058823529411,1.0,0.2741325868491961,0.7142857142857143,2016.1171595664491,0.70,True
6,sup_inf_doubly,0.7185167240488504,0.6099721301516061,1.0,1.0,0.9517285255003436,0.2702843160039109,0.8801072761429249,0.7647058823529411,1.0,0.2741324429031614,0.5714285714285714,2100.749024638368,0.97,True
6,dim_draw,0.6557505627164981,0.6666666666666667,1.0,1.0,0.7896265500686627,0.2506659163780024,0.8649177071746188,0.7647058823529411,1.0,0.1666666666666666,0.7142857142857143,2147.220584730151,1.67,True
6,dim_flux,0.7185167487523152,0.6143245899379467,1.0,1.0,0.9517284506295264,0.2577701870769336,0.8801072840129183,0.7647058823529411,1.0,0.2741324574472776,0.5714285714285714,2097.323667853861,0.92,True
7,hand_drawn,0.5,0.625,1.0,1.0,0.8072353309716164,0.375,0.7738820966282215,0.4285714285714285,1.0,0.25,0.5714285714285714,2275.2518163230247,0.0,True
