lattice,algo,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU
15,dim_draw,0.5608877714519009,0.8333333333333336,1.0,1.0,0.7586003559306363,0.23367840647165428,0.7958121107449004,0.6666666666666666,1.0,0.1666666666666666,0.7142857142857143
15,dim_draw_double,0.6174553640210829,0.7379705786664396,1.0,1.0,0.9372786389130678,0.3444150310460389,0.8706525391254014,0.875,1.0,0.28433501749498896,0.8571428571428572
16,hand_drawn,0.4375,0.625,1.0,1.0,0.7728431410975932,0.375,0.8004042396100421,0.7647058823529411,1.0,0.25,0.5714285714285714
16,sup_inf_attribute,0.6552418680287959,0.8859700601690839,1.0,1.0,0.8950296809427815,0.3557469621683649,0.8643121257007504,0.875,1.0,0.25654383881964926,0.5714285714285714
16,sup_inf_double,0.6348500442743561,0.9596046881739497,1.0,1.0,0.9320230026370548,0.33466206818686584,0.8892263769066187,0.875,1.0,0.3264096513439576,0.8571428571428572
16,dim_draw,0.5995187351404776,0.8333333333333336,1.0,1.0,0.7379252045835127,0.24810737565980623,0.8030356326436042,0.6666666666666666,1.0,0.1666666666666666,0.7142857142857143
16,dim_draw_double,0.6387970378334258,0.9454180229021354,1.0,1.0,0.9238837303387579,0.2855417539755013,0.8865627253658452,0.875,1.0,0.3207740571039205,0.8571428571428572
17,hand_drawn,0.625,1.0,1.0,1.0,0.823529411764706,0.0,0.7982446839904773,0.875,1.0,0.22360679774997894,0.7142857142857143
17,sup_inf_attribute,0.6580539245712997,0.9375829799230925,1.0,1.0,0.841380727426635,0.20084580525942564,0.8106929927690456,0.6666666666666666,1.0,0.2866491504989847,0.7142857142857143
17,sup_inf_double,0.5994307189964116,0.8885849763574223,1.0,1.0,0.9109031519222913,0.30344820388808136,0.8277579362185257,0.875,1.0,0.36028797105768345,0.7142857142857143
17,dim_draw,0.5608877714519009,0.9999999999999998,1.0,1.0,0.7677302629753899,0.15452385475430686,0.8060249814041114,0.5,1.0,0.2963744891819094,0.5714285714285714
17,dim_draw_double,0.5897447556671419,0.8589498630005197,1.0,1.0,0.91653628659464,0.30579934812514176,0.8282470252358112,0.875,1.0,0.36114533118972797,0.7142857142857143
18,hand_drawn,0.6666666666666667,1.0,1.0,1.0,0.859375,0.0,0.8216699198992292,0.6363636363636364,1.0,0.3535533905932738,0.7142857142857143
18,sup_inf_attribute,0.7127751933466073,0.9206044124373396,1.0,1.0,0.9444901884958534,0.24095264678067152,0.8626203731838267,0.8,1.0,0.37357192303905085,0.8571428571428572
18,sup_inf_double,0.6951425613389053,0.9133760875032182,1.0,1.0,0.9574571891920514,0.23709816376589754,0.8698419941122064,0.8,1.0,0.3760137959695956,0.8571428571428572
18,dim_draw,0.6293616132761213,0.9999999999999998,1.0,1.0,0.8299256391292523,0.09346644394714798,0.8115991289034333,0.6363636363636364,1.0,0.2568848919569542,0.7142857142857143
18,dim_draw_double,0.6982426318687784,0.9245694560050749,1.0,1.0,0.9549849614521999,0.22564476329074368,0.8691046382323597,0.8,1.0,0.37208217839584645,0.8571428571428572
19,hand_drawn,0.375,1.0,1.0,1.0,0.7492123302924697,0.4285714285714286,0.7084799424025126,0.3,1.0,0.3333333333333333,0.6
19,sup_inf_attribute,0.4715498440117879,0.7844625485128675,1.0,1.0,0.7371355936742366,0.6103687034262782,0.6331741590595661,0.3,1.0,0.2245449664268703,0.6
19,sup_inf_double,0.4330447300076278,0.7728234826046745,1.0,1.0,0.7200306860764624,0.5195041074623592,0.6896322359051008,0.3,1.0,0.23797761718851482,0.6
19,dim_draw,0.4182869075644565,0.8333333333333334,1.0,1.0,0.7287628226053364,0.4945324305744102,0.6809966125009244,0.3,1.0,0.16666666666666666,0.6
